Date,Close/Last,Open,High,Low,Change ,Percentage
10/20/2023,4224.16,4273.85,4276.56,4223.03,-49.69,-1.163
10/19/2023,4278,4321.36,4339.54,4269.69,-43.36,-1.003
10/18/2023,4314.6,4357.35,4364.2,4303.84,-42.75,-0.981
10/17/2023,4373.2,4345.23,4393.57,4337.54,27.97,0.644
10/16/2023,4373.63,4342.37,4383.33,4342.37,31.26,0.72
10/13/2023,4327.78,4360.49,4377.1,4311.97,-32.71,-0.75
10/12/2023,4349.61,4380.94,4385.85,4325.43,-31.33,-0.715
10/11/2023,4376.95,4366.59,4378.64,4345.34,10.36,0.237
10/10/2023,4358.24,4339.75,4385.46,4339.64,18.49,0.426
10/9/2023,4335.66,4289.02,4341.73,4283.79,46.64,1.087
10/6/2023,4308.5,4234.79,4324.1,4219.55,73.71,1.741
10/5/2023,4258.19,4259.31,4267.13,4225.91,-1.12,-0.026
10/4/2023,4263.75,4233.83,4268.5,4220.48,29.92,0.707
10/3/2023,4229.45,4269.75,4281.15,4216.45,-40.3,-0.944
10/2/2023,4288.39,4284.52,4300.58,4260.21,3.87,0.09
09/29/2023,4288.05,4328.18,4333.15,4274.86,-40.13,-0.927
09/28/2023,4299.7,4269.65,4317.27,4264.38,30.05,0.704
09/27/2023,4274.51,4282.63,4292.07,4238.63,-8.12,-0.19
09/26/2023,4273.53,4312.88,4313.01,4265.98,-39.35,-0.912
09/25/2023,4337.44,4310.62,4338.51,4302.7,26.82,0.622
09/22/2023,4320.06,4341.74,4357.4,4316.49,-21.68,-0.499
09/21/2023,4330,4374.36,4375.7,4329.17,-44.36,-1.014
09/20/2023,4402.2,4452.81,4461.03,4401.38,-50.61,-1.137
09/19/2023,4443.95,4445.41,4449.85,4416.61,-1.46,-0.033
09/18/2023,4453.53,4445.13,4466.36,4442.11,8.4,0.189
09/15/2023,4450.32,4497.98,4497.98,4447.21,-47.66,-1.06
09/14/2023,4505.1,4487.78,4511.99,4478.69,17.32,0.386
09/13/2023,4467.44,4462.65,4479.39,4453.52,4.79,0.107
9/12/2023,4461.9,4473.27,4487.11,4456.83,-11.37,-0.254
9/11/2023,4487.46,4480.98,4490.77,4467.89,6.48,0.145
9/8/2023,4457.49,4451.3,4473.53,4448.38,6.19,0.139
9/7/2023,4451.14,4434.55,4457.81,4430.46,16.59,0.374
9/6/2023,4465.48,4490.35,4490.35,4442.38,-24.87,-0.554
9/5/2023,4496.83,4510.06,4514.29,4496.01,-13.23,-0.293
9/1/2023,4515.77,4530.6,4541.25,4501.35,-14.83,-0.327
08/31/2023,4507.66,4517.01,4532.26,4507.39,-9.35,-0.207
08/30/2023,4514.87,4500.34,4521.65,4493.59,14.53,0.323
08/29/2023,4497.63,4432.75,4500.14,4431.68,64.88,1.464
